review,sentiment
recently friend discussing educational ethical influence growing versus today mentioned samuel taylor coleridge wrote rime ancient mariner u required recite part epic poem high school english literature course college friend said message even might called metaphysical within today context br br tried reciting remembered bit piece problem remembering dr seuss said get two copy poem could read easy enough extremely surprised find made film looked forward watching film see interpreted rime ancient mariner exactly light reading read poem watched film together br br considered film remarkable achievement especially considering made computer called ken burn effect special effect often began compensating lack substance particularly noteworthy th th century illustration culled lesser known artist willy pogany early hollywood designer br br film narrated sir michael redgrave taught poem schoolmaster adding tone authority credibility remaining true poem br br mastery layer subtle message conveyed without instructing becoming oppressive obvious morality tale found refreshing change today face clobber head mentality today morality message film two dimensional extreme violence murder mayhem mark bad bad really really bad good super hero human character lacked nuance rime ancient mariner celebration individual character appreciation celebrating richness life offer within larger context humanity e man capacity give others br br proud found unknown gem learned top award category five six time name international film festival another surprise learning film director raul dasilva recognized authority early animation authored six award winning book film br br film message relevant today coleridge penned original epic poem raul dasilva translated film still teaching high school five year grab one show student level richness naturally lead discussion big important issue u face whether today fact long humanity spiritual component br br highly recommended,1
one best moodiest vampire tale ever love movie really character great even location story indeed picture big budget production absolutely worth seeing br br ok fault especially name castle location movie mistake typically almost every horror movie br br scenery fit perfect story close reality say honest visit romania vacation br br opinion best part subspecies series,1
movie action comedy heroic best finest actor gunga din remain classic enjoyed like good movie excellent picture collection,1
gave think moral lesson story provoked thought comment wife acting dialogue mediocre must confess came feeling like beaten head god god christ saviour stuff movie story line need recovering catholic christian avoid one make nauseous movie good job demonstrating thin line good citizen someone could become potential stalker focused might,0
man white suit like right jack take dim view labor capital alec guinness scientific genius eccentric one never gotten university degree due err accident college laboratory manages push various industrial lab textile industry film begin michael gough company gough memorable moment trying impress would father law cecil parker showing ship shape firm run lunch parker parker daughter joan greenwood gough get message regarding problem lab unexpectedly large budget problem read huge expenditure due guinness experiment choke coffee br br guinness go work parker firm repeat trick gough parker discovers greenwood discovered guinness working convinces parker continue experiment legally result guinness assistant apparently figured make artificial fiber constantly change electronic bond within molecular structure intent purpose fiber remain tact good textile made never fade get dirty wear last forever br br guinness support female shop steward chief see guinness selling rich explains done turn everyone clothes last forever need new clothes soon parker fellow textile tycoon led gough ernest theisinger wonderful performance howard marion crawford equally panic stricken may end business seek suppress invention greenwood corner although parker sort sympathizes guinness try get news discovery public br br end guinness defeated science well greed end film seeing error calculation guess one day may still pull discovery br br brilliant comedy argument suppression valid one point difficulty making textile shown heat thread high temperature actually enable end material united nothing show cloth stretch owner get fat contract owner get thin believe people would want one set clothing ever happened fashion change new style cloth made color white making guinness look like white knight told color dye would added earlier process effect chemical reaction maintain structure textile br br ala science paper film hypocrisy labor capital modern industry brilliant question mention keep bothering validity suppressing guinness invention,1
forgettable trifle ish norma shearer play fluttery girlish socialite monte carlo caught tussle george sander robert taylor would tempting blame movie failure dull talky script director george cukor never seems interested livening film generally comatose state mostly though fault shearer desperately wanted keep playing young part long could get away inadvertently make cardboard lover bizarre monument aging woman vanity,0
doug mcclure starred british produced genre adventure one got worst lot know land time forgot critic please least movie featured location filming relatively good production value problem movie production value go way beyond bad good affectionate territory become bad think go see channel br br one case point first scene featuring intrepid cushing mcclure encountering monster painfully obvious monster average sized man dressed rubber monster made look twenty foot tall via overblown back projection becomes even painfully obvious hero trying escape monster running spot mentioned one convincing set piece really look like filmed somebody living room spare change left year doctor budget even former doctor peter cushing bland amusing line mesmerise british delivered flat way similar line spoken cushing horror express script devoid characterisation plotting memorable dialogue fact dialogue unmemorable also infrequent rare since monster speak better chief bad guy humanoid like warlord atlantis could explain plot anyone know plot actually br br tedious british movie even twin talent caroline munro save whole mood movie summed final sequence featuring two keystone cop,0
seeing aristocats special edition two pack fox hound decided buy since film childhood favourite br br aristocats classic definitely might five star classic fun film make good evening entertainment somewhat light refreshment darker serious disney classic aristocats try light hearted musical comedy think succeeds br br storyline really make much sense think plot particularly strong certainly weak animation background bit scratchy place typical disney film rustic old fashioned charm br br aristocats strongest point character music humour music memorable try getting everybody want cat head hurry song written sherman brother also music jungle book one song called never felt alone going film sadly make final feature shame think would fit well br br character unforgettable thomas malley voiced phil harris basically baloo feline form eva gabor give duchess warm maternal feel kitten voice actually sound like child actor imitating voice child secondary character dozen yet still end understanding personality edgar villainous butler play similar role cruella de vil comical scary often ending funny situation even though bad guy still lovable br br two british goose abigail amelia really cracking along crazy drunk uncle also like dog tend argue leader could go spoil tell aristocats funny entertain everyone without resort rudimentary toilet humour br br bottom line aristocats might disney crowning achievement even strongest film award tie rescuer many adventure whinnie pooh enjoyable romp sure entertain looking dazzling work art might better watching bambi want fun night aristocats way go charming lovable film impossible dislike enjoy besides good film cat seen villain,1
excellent drama dark never seen california photographed way bridget fonda deaf wife beaten husband superb film gripped start finish understated performance sutherland direction european amazing get performance fonda,1
watch film horror heart mother also crack head like michelle wondering michelle time find mother place scared scared leave see michelle act like made wonder sleeping time watched hope never bad mom want know matt tracy tear as worst scene watching tracy shoot old navy dressing room u never try clothes look like except michelle aid know get update,1
